date,repo,url,stars,forks,watchers,issues,language,updated
2026-07-28,esp-kos-bridge,https://github.com/m5it/esp-kos-bridge,4,2,4,2,C,2023-08-15
2026-07-28,AIIA,https://github.com/m5it/AIIA,1,0,1,0,Python,2026-07-28
2026-07-28,koslenium_driver,https://github.com/m5it/koslenium_driver,1,0,1,0,Java,2026-07-28
2026-07-28,logic-of-kos,https://github.com/m5it/logic-of-kos,0,0,0,0,Shell,2026-07-28
2026-07-28,news,https://github.com/m5it/news,0,0,0,0,N/A,2026-07-28
2026-07-28,KosDB,https://github.com/m5it/KosDB,0,0,0,0,Python,2026-07-28
2026-07-28,KosDWM5,https://github.com/m5it/KosDWM5,0,0,0,0,Python,2026-07-28
2026-07-28,leveldb_for_KosDB,https://github.com/m5it/leveldb_for_KosDB,0,0,0,0,C++,2026-07-27
2026-07-28,plyvel_for_KosDB,https://github.com/m5it/plyvel_for_KosDB,0,0,0,0,Cython,2026-07-27
2026-07-28,plyvel,https://github.com/m5it/plyvel,0,0,0,0,N/A,2026-07-27
2026-07-28,AIIAEditor,https://github.com/m5it/AIIAEditor,0,0,0,0,Python,2026-07-27
2026-07-28,koslenium_www,https://github.com/m5it/koslenium_www,0,0,0,0,Java,2026-07-25
2026-07-28,KosDWM,https://github.com/m5it/KosDWM,0,0,0,0,Python,2026-07-24
2026-07-28,KosCMS,https://github.com/m5it/KosCMS,0,0,0,0,Python,2026-07-21
2026-07-28,leveldb,https://github.com/m5it/leveldb,0,0,0,0,N/A,2026-07-21
2026-07-28,xenco,https://github.com/m5it/xenco,0,0,0,0,Python,2026-07-21
2026-07-28,madS0rt-rust,https://github.com/m5it/madS0rt-rust,0,0,0,0,Rust,2026-07-21
2026-07-28,madS0rt,https://github.com/m5it/madS0rt,0,0,0,0,Python,2026-07-19
2026-07-28,KosXER,https://github.com/m5it/KosXER,0,0,0,0,Python,2026-07-19
2026-07-28,KosBox,https://github.com/m5it/KosBox,0,0,0,0,C,2026-07-17
2026-07-28,gmd,https://github.com/m5it/gmd,0,0,0,0,Python,2026-07-17
2026-07-28,fwtrash,https://github.com/m5it/fwtrash,0,0,0,0,Python,2026-07-17
2026-07-28,fwspoof,https://github.com/m5it/fwspoof,0,0,0,0,Python,2026-07-13
2026-07-28,nginx,https://github.com/m5it/nginx,0,0,0,0,N/A,2026-07-13
2026-07-28,tmux,https://github.com/m5it/tmux,0,0,0,0,N/A,2026-07-12
2026-07-28,rad-tui-BASIC,https://github.com/m5it/rad-tui-BASIC,0,0,0,0,Python,2026-07-10
2026-07-28,KosFM,https://github.com/m5it/KosFM,0,0,0,0,Python,2026-07-10
2026-07-28,OurSSH,https://github.com/m5it/OurSSH,0,0,0,0,Python,2026-07-08
2026-07-28,KosIrcBouncer,https://github.com/m5it/KosIrcBouncer,0,0,0,0,Python,2026-07-06
2026-07-28,four_in_line,https://github.com/m5it/four_in_line,0,0,0,0,Python,2026-07-06
2026-07-28,AIIA_DATASETS,https://github.com/m5it/AIIA_DATASETS,0,0,0,0,N/A,2026-07-06
2026-07-28,aiia_collecting_data,https://github.com/m5it/aiia_collecting_data,0,0,0,0,N/A,2026-05-31
2026-07-28,sdb,https://github.com/m5it/sdb,0,0,0,0,Shell,2026-05-26
2026-07-28,LLMTeacher,https://github.com/m5it/LLMTeacher,0,0,0,0,Python,2026-05-04
2026-07-28,ollama-works-good,https://github.com/m5it/ollama-works-good,0,0,0,0,N/A,2025-05-01
2026-07-28,esp-iot-bridge,https://github.com/m5it/esp-iot-bridge,0,0,0,0,N/A,2022-11-27
2026-07-28,async_http_panel,https://github.com/m5it/async_http_panel,0,0,0,0,C++,2022-10-21
2026-07-28,http_panel,https://github.com/m5it/http_panel,0,0,0,1,C++,2022-10-07
2026-07-28,DHT_sensor_library_modified,https://github.com/m5it/DHT_sensor_library_modified,0,0,0,0,C++,2022-09-30
2026-07-28,hackercouch,https://github.com/m5it/hackercouch,0,0,0,0,CSS,2016-08-23
